id,synopsis
b03mjdtx,"Matt Smith and Jenna Coleman take an in-depth look at the first six Doctors, the Daleks and the Cybermen, and we take a tour inside the trans-dimensional TARDIS."
b03w74bh,Clare Balding presents live coverage from Sochi. The ladies' figure skating begins with the short programme. Plus the third run of the women's bobsleigh.
b01rb3gb,Specials featuring archive on a single subject from past Mock the Weeks. This time the subject is the animal kingdom.
b03v3dys,Series following six trainee teachers. The trainees are approaching the end of the academic year. The momentous decision of whether to stay in teaching.
b03vrtzp,Evolutionary biologist Ben Garrod Ben shows what bone is constructed from and how it can support animals that are both tiny and massive.
b03hd9nj,"Comedy drama set in 1960s Wales. As more and more villagers sign up for New Trefelin, Prem is left isolated. An act of sabotage breaks the village's calm."
b00nx10r,"Biopic of 'Queen of the Pin-Ups' Bettie Page, who found herself the target of a Senate investigation into obscenity in 1950s America."
b03wcmdc,"Prosthetics are used to transform people before they go on a first date, taking their real looks out of the equation. Will Alex the demon find true love?"
b03jp47m,"Wildlife biologist Liz Bonnin sets off on a worldwide journey of discovery to find out why animals of different species make friends with each other, and even fall in love."
b03w7mv6,"Drama about a group of midwives in 1950s London. A young woman with Down's syndrome is found to be pregnant, and the nuns organise celebrations for Sister Evangelina jubilee."
b03vrphc,"Two-part documentary in which Jonathan Meades makes the case for 20th-century concrete Brutalist architecture in an homage to a style that he sees a brave, bold and bloody-minded."
b03w7w75,"Antiques expert Jonty Hearnden takes on Christina Trevanion at auction in Colchester. They each have 1,000 to buy the best bargains to sell on for maximum profit."
b03w006h,"Sacha gives Zosia the opportunity to prove herself with a vulnerable patient, but events take a catastrophic turn. Meanwhile, Harry is frustrated when Annie returns."
b03v2yxt,"Documentary portrait of US singer-songwriter Neil Sedaka, who recorded and sang a number of instantly recognisable tunes as well as writing a string of hits for other artists."
b03w7w4x,"Angela Rippon travels to Sierra Leone to appeal on behalf of Womankind Worldwide, a charity working to tackle violence and discrimination against women."
b03phwk5,BBC political editor Nick Robinson examines the public's anxieties about immigration and reveals the facts of an issue that has transformed British politics.
b03w7w6x,"Dark comedy. Tom is a schoolteacher and aspiring author. When he tries to repay a good turn from a late-night caller, he becomes the victim of his own generosity."
b03v3n0d,"Russell Kane explains why the British like to be unhappy, Totally Tom try tour guiding and Linda the Make-Up Girl inflicts some unconventional beauty techniques upon Marcel Lucont."
b00hh4ws,"An international team of scientists and divers search for species new to science in the Amazon River. They find stingray, freshwater dolphins, talking fish and the mysterious Jau."
b03vrz4h,"Profile of architecture critic Ian Nairn who led a blistering attack on the soulless destruction of Britain by shoddy post-war planners, but who was a flawed, troubled character."
b03vrz4f,"A look at some of the stunning recent work of an exceptional generation of British architects born in the 1930s, led by Norman Foster and Richard Rogers."
b038rj1b,Olivia Horsfall Turner looks at two of the most radical civil engineering projects proposed in the last century - a ship canal in Scotland and the Channel Tunnel.
p00jtm6v,"Melvyn Bragg reveals incredible footage telling the history of modern Britain. In Torquay, he looks back to the 1940s and wartime evacuation."
b03jfxdr,Stand-up comedy from the world-famous venue. Comedy legend Eddie Izzard introduces South Africa's Trevor Noah and Devon's favourite son Josh Widdicombe.
b03wc3zr,"Cookery series. In Thailand, the Hairy Bikers discover why Bangkok is the street food capital of the world."
b03w6zbd,The show live from Leith Academy in Edinburgh. Nicky Campbell asks: Should Christians rise above their differences? Should assisted dying be legal? Do religions need gods?
b0078h4b,"Series looking at strange animal behaviour reveals nature's quirkiest movers and shakers using special FX, from dancing seaslugs to cartwheeling caterpillars."
b03w7vbz,"In another quarter-final match, two teams of students aim to reach the next stage of the quiz. Jeremy Paxman asks the questions."
b01m5d3d,"Drama set during World War II. An Algerian immigrant in Paris is pressured by the police to spy in a mosque, where he befriends a Jewish singer and joins the Resistance."
b03wc9v7,"Motoring magazine. Jeremy Clarkson, Richard Hammond and James May demonstrate their love for compact, small-engined cars with a trip to Ukraine."
b03w3hmp,"Extended version of the popular news quiz, with team captains Paul Merton and Ian Hislop, guest host Mel Giedroyc and guest panellists the Reverend Richard Coles and Ross Noble."
b00ckr5r,"Meet Longleat Safari Park's latest arrivals, the wild warthogs: Vlad the Impaler, Genghis Khan and Attila the Hun. Plus, Ben Fogle puts out supersized cat toys for the lions."
b03w3hmr,Celebrity genealogy series. Actress Zooey Deschanel searches for the truth behind the rumour that her father's ancestors were involved in the anti-slavery movement.
b01qyj70,Series looking at benefit fraud. A five-year investigation by West Midlands Police into a Birmingham charity reveals the company was involved in a complex and sophisticated fraud.
b01sksb9,"Makeunder show hosted by Ellie Taylor. In Nottingham POD performs two transformations, one on tan addict Joanna and the other on 80s throwback Claire."
b03vs7g1,"Chris encounters a patient whose life is seemingly controlled by his violent left hand. Elsewhere, Al faces some tough questions about his recent behaviour."
b03vzwcf,"TV chef James Martin explores home cooking. James cooks dishes perfect for lazy winter days, and Ivan Day reveals how slow cooking has changed over the years."
b03w4c7c,"Nick Knowles hosts the quiz where two teams play against each other to complete a series of lists and win up to £100,000. Includes the live Lottery draws with Gaby Roslin."
b03w4bsv,"In 2013 Reggie Yates spent a week in South Africa's largest white squatter camp, Coronation Park. Are young white South Africans now the ones being discriminated against?"
b03vrv12,"Phil Jones presents action from Birmingham, as the National Indoor Arena plays host to the British Indoor Grand Prix, featuring the cream of British athletics talent."
b00pwstt,"Hugely successful singer-songwriter Neil Sedaka plays hits from his early rock 'n' roll days and his later, more lyrical age in this special one-man show from the 1980s."
b01bb9gq,"Comedy series about a loudmouthed Irish matriarch and her family. When Agnes's family starts making comments about her weight, she decides to go on a diet."
b03c9kh2,A bride lets her groom organise their big day. Risk-taking Irishman Rory plans a seaside wedding in Ireland for his patriotic Welsh bride-to-be Rhiana.
b01mtm15,School-based sitcom. It is school election time and Gulliver implies Alfie's class are all 'unelectable'. Pickwell has her sights on Fraser's job after he is suspended.
b00s2w6p,"Richard Hammond presents the game show in which 20 Brits tackle an obstacle course in Argentina for a £10,000 prize. New challenges for 2010 include the evil Motivator."
b03w70g9,"Property series. Jonnie Irwin is in North Yorkshire with a family who have a budget of £350,000 to spend on a dream home. While in the county, Jonnie learns about the Mouseman."
b03w4btz,"Pam Rhodes finds out how Liz Taylor's former body double is spending her retirement, and discovers what it is like to retire from your dream job when you are only 35."
b03w2w8t,"Documentary looking into the secretive world of adult webcamming. Three online performers explain what it's really like baring all, online, for strangers all over the world."
b03vq1jb,"Series in which parents secretly keep tabs on their offspring's Thai holidays. Billy from Bristol and Agi from Essex head to Koh Samui, home of the famous Full Moon parties."
b03w7gxt,Robert Peston travels to China to investigate how the economic giant could actually be in trouble. It is a story of spending and investment on a scale never seen before.
b03vsvsd,"Iain defies orders and runs into a burning building to save a man, while Lily steps in as a magician's assistant when pensioner Yvonne gets injured."
b03vq1dh,Sitcom about a sensible schoolboy and his immature uncle. Andy and Errol are offered the opportunity of a lifetime - to sign with Rage Records and infamous music producer Mo Kahn.
b03wcc1r,"Restaurateur Russell Norman helps newcomers to the trade. Tony in Gravesend wants to launch a pizzeria with his family, but his children have very different feelings."
b01pwtqy,"Jago Cooper journeys into the Peruvian Andes in search of the Chachapoya people, whose funeral traditions challenge assumptions about ancient human behaviour."
b03wphv3,"Documentary series. The cops now have a new way of collecting evidence: headcams. And in a drugs hotspot, a dealer is faced with a police search."
b03w7s5k,"Comedy series. When the poker-wielding, egg-throwing Duke of Dunstable threatens to have Clarence committed, Beach and Freddie hatch a plan to rescue him."
b01r3njz,Documentary in which Michael Grade sets out to discover whether jokes come and go with the passing of time or whether we are still laughing at the same things our ancestors did.
b03w3x0h,"Frank Skinner hosts as three celebrities battle to banish their top peeve or worst nightmare to the depths of Room 101. With guests Josh Widdicombe, Sara Cox and Aled Jones."
b03w41tf,"Game show with Shane Richie. The Dunn family from Cheshire face the Phillips family from Cardiff, with the fastest family going on to try and win a potential £20,000 prize."
b03w45sq,"Film reviews. Claudia Winkleman and Danny Leigh look at Lars von Trier's controversial Nymphomaniac, Jim Jarmusch's Only Lovers Left Alive, and A New York Winter's Tale."
b03sg6fq,Tom Dyckhoff presents the search for Britain's best amateur interior designer. The eight heats begin with makeovers of large bedrooms in north London.
b03w73yz,"The Countryfile team visits the rural county of Wiltshire. Matt Baker visits a pig farm, and Julia Bradbury looks at the birds that call the UK home in the winter months."
b03ny6tx,"Hidden cameras offer the chance to go into the heart of the dolphins' world, revealing the remarkable family life of the orca, and the dolphins that wear sponges on their noses."
b01qclqq,"Martin Roberts and Lucy Alexander visit a maisonette in Cardiff, a property in Lanark and a house in Devon."
b03w7s0n,"Writer Naomi Wood talks about her latest book, Mrs Hemingway, to Nick Higham."
b03w7snk,"Sitcom following the hectic lives of the Brockman family. Dad and Ben go on a winter camping trip, where Ben shows off his survival skills. Jake has to decide about a gap year."
b03w7s0t,"Sitcom set in Vic and Bob's house. When a magazine offers a chimp as a prize to anyone who can provide a photo of a ghost, Vic instantly begins ghost hunting."
b03vq5rf,"Tanya Arnold presents highlights and analysis from the first round of matches in the Super League. Including Warrington v St Helens, Hull FC v Catalan and Leeds v Hull KR."
b03c7lcq,"Music show featuring the deftly delicate guitar of Russ Barenberg, one of the Sessions' 'founding fathers', and John McCusker's rollicking fiddle."
b03vg99x,"The revamped team look at Jupiter's coloured bands and iconic 'eye', visible manifestations of a violent atmosphere that causes extraordinary weather."
b03tydzl,Following a special team who transport some of the UK's sickest children to expert medical care. A baby with a hole in her heart desperately needs surgery.
b01qfgkl,"Nicki Chapman catches up with the Stitt family, who decided to try a week in Australia as a result of Eric's career in the oil industry. Where are they a year on?"
b03skbx0,Justin Rowlatt and Anita Rani continue their epic road trips across Russia. Anita meets some drag-racers in Moscow and Justin heads deep into the Ural Mountains and Asia.
b03q0cvy,"Australian comedy series. To show how much she deserves to win the Hillford medal, Ja'mie performs a dance solo. During the choir rehearsal she sings an original song."
b03wby67,"John Humphrys puts the questions to four more contenders. Subjects are The Grateful Dead, the novels of Wilkie Collins, the history of Bedlam and the English Civil Wars."
b03w0gk1,Comedy series set in the parks department of an Indiana town. Leslie wants to bury a time capsule that encapsulates life in Pawnee. Andy tries to win April back.
b01f9y08,A look at the work of high court enforcement officers. This episode features a former office manager who was sacked by text. She won a tribunal but never got the compensation.
b03w7yh1,"Police drama series. Following the tragedy at the hospital, AC12's Kate Fleming is planted undercover in Lindsay Denton's Missing Persons Unit."
b01qxzrx,"Alexander Armstrong and co-host Richard Osman present a sporting celebrity special edition of the quiz, with guests including Martin Offiah, Phil Tufnell and Samantha Murray."
b03qg00y,"Andrew Graham-Dixon and Giorgio Locatelli's journey continues in Lazio. Avoiding Rome, the region's capital, they discover what lies outside the Eternal City."
b03w7x1r,"The stories behind the discovery of the earliest Christian texts, including strange zodiacs, hymns to Egypt's solar god, and heretical Christian texts."
b03w0d8z,School-based drama. George is left in charge of the school while Christine is away - but can he handle the pressure when the pupils stage a protest to stop Lula being deported?
b03w7n82,"Budding entrepreneurs pitch business ideas to multimillionaires. A Ghanaian entrepreneur presents his chocolate drink startup, and a couple hope to change our sleeping habits."
b01pyjxw,"Flemish drama series. Being pursued by unknown forces, Paul takes shelter in the monastery where his former boss Carl Cassimon has retreated, to ask for his help."
b03wyqp4,"As Britain is battered yet again by extreme weather, reporter Richard Bilton investigates the causes of the flooding that has devastated so much of the country."
b01m9bvv,Quiz in which contestants try to score as few points as possible by plumbing the depths of their general knowledge to come up with the answers no-one else can think of.
b03vrwj8,Dr Michael Mosley explores the bizarre and fascinating world of parasites by turning his body into a living laboratory and deliberately infesting himself with them.
p01m732z,Dan Snow and his team continue down the Grand Canyon in antique wooden boats as they rediscover one of the Wild West's great adventures.
b03t7wlq,"A look at wildlife from the perspective of tiny creatures. A young marmoset confronts the dangers of Rio's streets, and a rhinoceros beetle seeks sanctuary in Tokyo."
b03w7vth,"Documentary series. Facing a shoplifting epidemic, Poundworld CEO Chris Edwards decides to employ undercover store detectives to catch the culprits."
b01gymg9,"How reggae music brought to the UK by West Indian immigrants came to dominate the charts. With Ken Boothe, Steel Pulse, Althea and Donna, Janet Kay and more."
b03w7v2t,"Ahead of his first solo album, Damon Albarn gives The Culture Show exclusive and intimate access to his life as he prepares to present this new work to the world."
b03wd39x,A team who have followed the murder investigation of Meredith Kercher from the very first day present evidence for and against Amanda Knox who has been found guilty of the crime.
b014sd40,"Mind-expanding quiz. Stephen Fry asks unanswerable questions with an international flavour. His guests are Jack Dee, David Mitchell, Bill Bailey and Alan Davies."
b03w7wb3,Who knows best on floods - scientists or politicians? What happens when your welfare is stopped? North Korea atrocities. Scotland and the EU. David Bailey.
b03wc4s2,Antiques challenge. Tim Wonnacott presents from Devon as the teams buy antiques and collectables to be sold at auction. With experts Kate Bliss and David Harper.
b03wcchn,"Science series. Horizon explores why placebos work, despite containing no active ingredient, and explains how we could all benefit from their hidden power."
b01g6kgt,Topical comedy show in which Russell Howard offers his unique perspective on the news stories that dominated the broadcast and print media over the previous seven days.
b0336tf3,"Stephen Smith explores the life and work of the virtuoso jeweller Carl Faberge, who transformed his father's modest business into the world's most famous supplier of luxury items."
b01n88kf,"Quiz show. Stephen Fry looks at journeys with Cal Wilson, Rob Brydon, Phill Jupitus and Alan Davies."
b03w329v,Emma Willis and Marvin Humes host the penultimate round of blind auditions as the search for the UK's next big vocal talent continues.
b03vpj8b,Comedy entertainment show about the Winter Olympics. Award-winning comedian Alan Davies and his guests from the worlds of comedy and sport discuss the action from Sochi.
b01kptcr,Our five senses link us to the outside world. Dr Kevin Fong looks back through 40 years of Horizon archives to find out what science has taught us about our tools of perception.
b03w3g4m,"Stephen Fry presents the British Academy Film Awards, one of the most prestigious and star-studded events in the film calendar, live from the Royal Opera House in London."
b03tz9dz,"Andrew Neil and Tim Donovan with the latest political news, interviews and debate."
b007920b,"Francesco da Mosto travels the length and breadth of Italy. He discovers why Rome is the Eternal City and goes head to head with Mussolini, then on to Naples."
b03w790q,Detective drama series set on a Caribbean island. DI Goodman and the team are faced with a conundrum when a birdwatcher is discovered murdered in the Saint-Marie jungle.
b03bm2fy,Series in which Neil Brand celebrates the art of cinema music and soundtracks. Neil explores how changing technology has taken soundtracks in bold new directions.
b03vq20n,"In a series revealing what it's like to be young in South America, Billie JD Porter travels to Brazil to explore the glitz and glamour of 15th birthday debutante balls."
b03vrsfr,"Brian looks at rock stars who turn to acting, charity singles and protest songs. Plus, how the Russians tried to take down the Concorde containing Phil Collins."
b00c5n6g,"Documentary series. China's heartland is the centre of a 5,000-year-old civilization and home to the giant panda, golden snub-nosed monkey and the golden takin."
b03vmb0s,"A look at the results of a BBC poll ranking the ten most important issues in the independence referendum, with analysis from the country's leading academics and experts."
b03w7ngl,"Detective drama set in 1969. Gently and Bacchus delve into a world of army secrets when a young former soldier, Scott Tanner, commits a murder in a Turkish bath."
b03wc5kz,Highlighting all that is excellent in food and drink. Should we care where our food comes from? Chef Genarro Contaldo creates an authentically Italian dish from scratch.
b03tvd87,Documentary telling the story of how British figure skaters Jayne Torvill and Christopher Dean achieved perfection and an Olympic gold medal on 14 February 1984.
b0118cx2,Dance Master Robert Webb explains the high concept behind the robo-dance video for Daft Punk's Around the World. Plus the stories behind the routines for Hey Mickey and Praise You.
b01qnnqp,How new technologies and production methods changed the face of agriculture and country life adapted to the new economic and moral realities of 1960s Britain.
b03mpphw,"1979 may be the most diverse year ever for acts on Top of the Pops, with disco at its peak and new wave, 2 Tone, reggae, rock, folk and electro records all making the top five."
b03w339b,A look at the day's sporting events.
b039vj0v,Dr Michael Scott explores how the Romans absorbed Greek theatre and how their empire provides a crucial connection between modern drama and the plays of the ancient Greeks.
b03vrsft,"Documentary which explores love, sacrifice and the creative spirit through the 40-year chaotic marriage of two Japanese artists in New York, as they prepare for a joint exhibition."
b03w46r4,Series charting how the First World War affected Britain. Jeremy Paxman describes how the country came to the very brink of defeat in the last year of the war.
b03ngyxd,"Matthew Crosby, Ben Clark and Tom Parry from comedy group Pappy's expose all the hapless continuity errors, awful anachronisms and gaping plot holes from Hollywood in 2013."
p01mv2md,"Dr George McGavin is joined by leading anatomy experts to dissect a real hand, taking it apart layer by layer to reveal what makes it unique in the animal kingdom."
b0074thh,"Graham Norton profiles the leading ladies of the disco era, including Gloria Gaynor, Donna Summer, Grace Jones, Chaka Khan, Madonna and 'honorary disco queen' Sylvester."
b01sfhyp,"Something ghastly is afoot in Victorian Yorkshire, as bodies are found with their skin a waxy, glowing red."
b03w7wjp,"Amateur sewers test their sewing and dressmaking skills. The contestants are tested on the three core fabrics in a dressmaker's cupboard: cotton, wool and silk."
b03vkqcw,"The latest news, sport and weather from London."
b03vkp9c,"The latest national and international news stories from the BBC News team, followed by weather."
b007v15w,"Disco classics from The Bee Gees, Gloria Gaynor, Liquid Gold, Sylvester, The Village People, The Weather Girls, Chic, George McCrae, Hi-Tension, Heatwave and more."
b03vkp9k,"The latest national and international news stories from the BBC News team, followed by weather."
b03nt1hc,Chris Packham examines some of the world's weirdest natural events. He finds out why whales and dolphins would forge an unlikely friendship and how trees are oozing red blood.
b03wc5qk,Andrew Marr is joined by key political personalities and cultural figures to discuss current affairs and the arts. Guests include actor George Clooney and author Robert M Edsel.
b01ny2dt,Drama. An astronaut finds himself stranded on a space station in a constant orbit around the Earth. Contact with the outside world is impossible.
b03vq4mj,Linda Robson meets long-time Lambeth residents being evicted from their valuable council homes. And can Shakespeare help former soldiers conquer their traumas?
b03w7y3c,Series following the community on the island of Sark as they try to balance the island's uniquely old-fashioned qualities with modern initiatives.
b03vznpt,"Kat is shocked by the arrival of an unexpected visitor. When Ian's behaviour reaches a new low, he is called on his misplaced priorities. And Linda devises a drastic plan."
b03vnyqc,"Andrew Neil with the latest political news and debate, including reaction to the Wythenshawe by-election and a look at viral campaign videos."
b03vlxh9,"Graham Norton continues his chat show, with guests including stars from the new movie The Monuments Men - Matt Damon, Bill Murray and Hugh Bonneville. And Paloma Faith performs."
b03vlcxy,"David Dimbleby presents the topical debate from Scunthorpe, with a panel including Damian Green MP, Chris Bryant MP, Janice Atkinson, Lord Winston and Cristina Odone."
b0196wwl,"Nick Knowles hosts the general knowledge quiz show. One thousand pounds is up for grabs in each game, but only by achieving absolute perfection will contestants win the prize."
b03vknzs,"Matt Baker and Alex Jones are joined by Warwick Davis and his Reduced Height Theatre Company, and Olympic medal winning snowboarder Jenny Jones."
b03wc7gf,"Manish Bhasin presents action from the Football League. The featured match comes from Dean Court as Bournemouth manager Eddie Howe goes head-to-head with his former club, Burnley."
b03wc7gc,"Matt Tebbutt is joined by chefs Alyn Williams and Martin Morales, Alistair McGowan faces his food heaven or hell and Susy Atkins chooses wine to match dishes cooked in the studio."
b03w4qlp,"Clare Balding presents highlights from the day's events in Sochi, including alpine skiing, ice hockey and figure skating."